"","Repeticion","Cantidad","Tiempo","Tipo"
"1",1,300,2.41800403594971,"Secuencial"
"2",2,300,0.733201026916504,"Secuencial"
"3",3,300,0.655200958251953,"Secuencial"
"4",4,300,0.639600992202759,"Secuencial"
"5",5,300,0.608402013778687,"Secuencial"
"6",6,300,0.748800992965698,"Secuencial"
"7",7,300,0.842401027679443,"Secuencial"
"8",8,300,0.577200889587402,"Secuencial"
"9",9,300,0.530400991439819,"Secuencial"
"10",10,300,0.546001195907593,"Secuencial"
"11",11,300,0.608400821685791,"Secuencial"
"12",12,300,0.577201128005981,"Secuencial"
"13",13,300,0.546000957489014,"Secuencial"
"14",14,300,0.499201059341431,"Secuencial"
"15",15,300,0.452400922775269,"Secuencial"
"16",16,300,0.42120099067688,"Secuencial"
"17",17,300,0.390000104904175,"Secuencial"
"18",18,300,0.374400854110718,"Secuencial"
"19",19,300,0.343201160430908,"Secuencial"
"20",20,300,0.343199968338013,"Secuencial"
"21",1,500,0.483600854873657,"Secuencial"
"22",2,500,0.421201229095459,"Secuencial"
"23",3,500,0.436800956726074,"Secuencial"
"24",4,500,0.421200037002563,"Secuencial"
"25",5,500,0.452400922775269,"Secuencial"
"26",6,500,0.452400922775269,"Secuencial"
"27",7,500,0.390001058578491,"Secuencial"
"28",8,500,0.390000104904175,"Secuencial"
"29",9,500,0.405600786209106,"Secuencial"
"30",10,500,0.374401092529297,"Secuencial"
"31",11,500,0.421200037002563,"Secuencial"
"32",12,500,0.405601024627686,"Secuencial"
"33",13,500,0.405601024627686,"Secuencial"
"34",14,500,0.405601024627686,"Secuencial"
"35",15,500,0.436800003051758,"Secuencial"
"36",16,500,0.42120099067688,"Secuencial"
"37",17,500,0.452400922775269,"Secuencial"
"38",18,500,0.374401092529297,"Secuencial"
"39",19,500,0.358799934387207,"Secuencial"
"40",20,500,0.374400854110718,"Secuencial"
"41",1,700,0.546001195907593,"Secuencial"
"42",2,700,0.546000957489014,"Secuencial"
"43",3,700,0.546000957489014,"Secuencial"
"44",4,700,0.561600923538208,"Secuencial"
"45",5,700,0.546000957489014,"Secuencial"
"46",6,700,0.561601161956787,"Secuencial"
"47",7,700,0.624001026153564,"Secuencial"
"48",8,700,0.639600992202759,"Secuencial"
"49",9,700,0.561600923538208,"Secuencial"
"50",10,700,0.561600923538208,"Secuencial"
"51",11,700,0.546001195907593,"Secuencial"
"52",12,700,0.530400991439819,"Secuencial"
"53",13,700,0.530400991439819,"Secuencial"
"54",14,700,0.514800786972046,"Secuencial"
"55",15,700,0.530400037765503,"Secuencial"
"56",16,700,0.592802047729492,"Secuencial"
"57",17,700,0.577201128005981,"Secuencial"
"58",18,700,0.592800855636597,"Secuencial"
"59",19,700,0.499200105667114,"Secuencial"
"60",20,700,0.530400991439819,"Secuencial"
"61",1,1000,0.795601844787598,"Secuencial"
"62",2,1000,0.780001163482666,"Secuencial"
"63",3,1000,0.748800992965698,"Secuencial"
"64",4,1000,0.780001878738403,"Secuencial"
"65",5,1000,0.79560112953186,"Secuencial"
"66",6,1000,4.63320803642273,"Secuencial"
"67",7,1000,2.43360495567322,"Secuencial"
"68",8,1000,1.7004029750824,"Secuencial"
"69",9,1000,1.4976019859314,"Secuencial"
"70",10,1000,1.326003074646,"Secuencial"
"71",11,1000,2.10600304603577,"Secuencial"
"72",12,1000,1.59120297431946,"Secuencial"
"73",13,1000,1.3260018825531,"Secuencial"
"74",14,1000,1.04520201683044,"Secuencial"
"75",15,1000,0.889202117919922,"Secuencial"
"76",16,1000,0.82680082321167,"Secuencial"
"77",17,1000,0.748802185058594,"Secuencial"
"78",18,1000,0.748800992965698,"Secuencial"
"79",19,1000,0.780000925064087,"Secuencial"
"80",20,1000,0.811202049255371,"Secuencial"
