g n g n b n n b n n b n g n g
b b g b b n b b n b b n b b g
g n n b b n g n g n b b n n g
g n g b b n g n g b b n g n g
n b g n b n g n n b b n b b g
g n g n b b g n g b b n g n g
g n g n b b n n g n b n g n g
g n n b b n b b n b b n b b g
g n g n b n g n g n b n g n g
g n g n b n g n g b b n g n g
b b b g n g n b b g n g b b b
b g b g n g n b n g n g n b n
g n g n b b g n b n b b g n g
g n g b n b b n b b n b g n g
g b g n b n n b n n g n b n b
g b g n b n n g n n b n g b g
g b b n b b n b b n b b g n g
g n g n b n g n g n b b g b b
g b g n b n b n b n b n g b g
g b g n b n b n b b n b b g b
b b b g n g n b n g n g b b g
b b b n g n n b b g n g b b b
