"","replica","k","time"
"1",1,10000,1.63999999999942
"2",2,10000,1.63999999999942
"3",3,10000,1.61000000000058
"4",4,10000,1.61000000000058
"5",5,10000,1.58000000000175
"6",6,10000,1.66999999999825
"7",7,10000,1.61000000000058
"8",8,10000,1.58000000000175
"9",9,10000,1.66999999999825
"10",10,10000,1.72000000000116
"11",11,10000,1.70000000000437
"12",12,10000,1.66999999999825
"13",13,10000,1.65999999999622
"14",14,10000,1.66000000000349
"15",15,10000,1.52999999999884
"16",16,10000,1.62999999999738
"17",17,10000,1.61000000000058
"18",18,10000,1.61000000000058
"19",19,10000,1.52999999999884
"20",20,10000,1.59000000000378
"21",1,15000,3.07999999999447
"22",2,15000,3.02999999999884
"23",3,15000,3.08000000000175
"24",4,15000,2.97000000000116
"25",5,15000,3.12000000000262
"26",6,15000,2.97000000000116
"27",7,15000,3.12999999999738
"28",8,15000,3.09999999999854
"29",9,15000,2.95999999999913
"30",10,15000,3.20000000000437
"31",11,15000,3.18999999999505
"32",12,15000,3.12999999999738
"33",13,15000,3.26000000000204
"34",14,15000,3.54000000000087
"35",15,15000,3.05999999999767
"36",16,15000,3.22000000000116
"37",17,15000,3.55999999999767
"38",18,15000,3
"39",19,15000,3.06000000000495
"40",20,15000,3.05999999999767
"41",1,20000,5.37999999999738
"42",2,20000,5.28000000000611
"43",3,20000,5.16999999999825
"44",4,20000,5.20999999999913
"45",5,20000,4.83999999999651
"46",6,20000,5.05000000000291
"47",7,20000,5
"48",8,20000,4.9800000000032
"49",9,20000,4.88999999999942
"50",10,20000,4.97000000000116
"51",11,20000,4.91999999999825
"52",12,20000,5.0199999999968
"53",13,20000,5.11000000000058
"54",14,20000,5.33000000000175
"55",15,20000,5.02999999999884
"56",16,20000,4.90000000000146
"57",17,20000,5.16999999999825
"58",18,20000,5.41000000000349
"59",19,20000,5.82999999999447
"60",20,20000,5.67000000000553
