            x          y           c          m        r  g
1  0.53764007 0.51827958  0.04684772 0.83315095 5.772871  0
2  0.45552553 0.46184098 -0.47637948 0.09432718 1.942444 -2
3  0.62053947 0.62546888 -0.05151217 0.96211980 6.203611  0
4  0.54503138 0.20287947 -0.11630411 0.51134917 4.522606 -1
5  0.84587091 0.57343695 -0.03783990 0.68915803 5.250364  0
6  0.46801664 0.39594071  0.52709665 0.25098012 3.168470  3
7  0.48076752 0.64362396  0.29598457 2.00016362 8.944638  1
8  0.80533839 0.08935400  0.16841754 0.62534831 5.001393  1
9  0.45673700 0.46490902 -0.75771217 0.13777019 2.347511 -4
10 0.14543468 0.36310502 -0.27184014 0.81822153 5.720914 -1
11 0.45315553 0.46789090 -1.00000000 0.02625816 1.024854 -5
12 0.59651768 0.26779671  0.04215032 0.70250101 5.300947  0
13 0.40681489 0.10816757  0.05950289 1.00185260 6.330411  0
14 0.99653340 0.44697384  0.13717576 1.99026852 8.922485  1
15 0.56514801 0.64615197  0.18933665 0.83201657 5.768940  1
16 0.45653097 0.46430515 -0.63830351 0.14751241 2.429094 -3
17 0.42349633 0.37928225  0.60997191 0.17639182 2.656252  3
18 0.01285817 0.77273124  0.04174935 0.51326794 4.531084  0
19 0.52978076 0.48623368  0.32177296 0.63327089 5.032975  2
20 0.60802459 0.24634805 -0.24903182 0.61718305 4.968634 -1
21 0.55642424 0.17309979  0.72503905 2.27723132 9.544069  4
22 0.45847473 0.46455410  0.11275584 0.11997112 2.190627  1
23 0.18406922 0.33099474  0.95165787 0.26775688 3.272656  5
24 0.45525054 0.48768130  0.34071249 1.55244993 7.880228  2
25 0.15710305 0.47009214  0.30536597 1.70220744 8.251563  2
26 0.44417594 0.15975952  0.09852812 0.22492844 2.999523  0
27 0.58025839 0.03861214  0.23688576 0.83827928 5.790611  1
28 0.39981994 0.52831592  0.49461345 0.46035623 4.291183  2
29 0.33570833 0.36070436  0.33980801 0.47792066 4.372279  2
30 0.51723867 0.33584918 -0.04546614 0.17066790 2.612798  0
31 0.79332969 0.42558849  0.39339375 0.98792482 6.286254  2
32 0.41674137 0.36289581 -0.15850554 0.72092528 5.370010 -1
33 0.52281206 0.39489224 -0.19852756 0.44910967 4.238442 -1
34 0.45646286 0.46556559  0.28872738 0.69831467 5.285129  1
35 0.58923118 0.44492399  0.31793412 0.95313179 6.174567  2
36 0.12052285 0.56096004  0.25381812 0.90788802 6.026236  1
37 0.44659183 0.45745906  1.00000000 0.38900721 3.944653  5
38 0.59814400 0.64900321 -0.17197777 2.42455003 9.847944 -1
39 0.67993486 0.13056524  0.42285539 0.51186177 4.524872  2
40 0.57344530 0.60296622  0.07916539 1.69114687 8.224711  0
41 0.69887984 0.71572733  0.40898255 2.10786209 9.182292  2
42 0.28859389 0.38084665 -0.21985879 1.05247046 6.488360 -1
43 0.45180979 0.64350108  0.45252118 0.65538382 5.120093  2
44 0.79139937 0.34998705 -0.20430036 1.37460640 7.415137 -1
45 0.45052315 0.41290093  0.54738153 0.03667315 1.211167  3
46 0.52826033 0.60681666  0.15003351 0.18381461 2.711565  1
47 0.45806768 0.46341343  0.24110255 0.11248521 2.121181  1
48 0.57852233 0.23378799 -0.07167096 0.97875443 6.257010  0
49 0.40460264 0.39801711 -0.24066766 0.78775370 5.613390 -1
50 0.39017138 0.36543427 -0.49826741 1.48133019 7.697611 -2
